Day,Date,Phase,Platform,Post_Type,Pillar,Best_Time_ET,Priority,Hook_First_3s,Caption,Asset_Description,CTA,Hashtags
1,,REBIRTH,IG Feed,AI Portrait,Cinematic Identity,Tue-Thu 7-9pm ET,HIGH,n/a (still post),came back different.,"AI hero portrait — face visible, dark red rim light, black layered outfit, silver chain, grainy 35mm. PIN if no music video yet.",,#papilotus #darkrnb #afterhours
1,,REBIRTH,IG Story,Signal Frame,Cinematic Identity,7-9pm ET (same day),LOW,Lotus symbol fade-in,no caption,"Lotus symbol on black, faint red glow, 3-frame loop",,
2,,REBIRTH,TikTok,Hook Loop A,Song Loop,Tue/Thu 7-9pm ET,HIGH,Lyric text appears WITH first beat — no black screen lead-in,"POV: you miss the chaos, not the person.",7-12 sec hook loop over rainy highway AI variation. Lyric overlay timed to first downbeat. Original Audio enabled so others can use it.,save this,#papilotus #afterhours #nightdrive
2,,REBIRTH,IG Story,Poll,Cinematic Identity,7-9pm ET (same day),MED,Two-image split visible immediately,night drive or empty club?,Split-frame poll: rainy highway vs empty club AI backgrounds,,
3,,REBIRTH,IG Reel,Hook Loop A (cross-post),Song Loop,Wed/Thu 6-9pm ET,MED,Lyric appears with first beat,"POV: you miss the chaos, not the person.",Day 2 TikTok re-uploaded as IG Reel. Use Original Audio. Tag as Reel not Story.,save this,#papilotus #afterhours #nightdrive
4,,REBIRTH,IG Feed,Lyric Still,Lyric Wound,Tue-Thu 11am-1pm ET,MED,n/a (still),you only love me when I disappear.,"Black bg, small white type centered, minimal lotus mark bottom-right. Save-bait format.",save this,#papilotus #darkrnb #afterhours
4,,REBIRTH,TikTok,Hook Loop B,Song Loop,Tue/Thu 7-9pm ET,HIGH,Motel neon flash + lyric on beat one,this part still hurts.,"SAME hook, different background — motel hallway AI. Test which background gets more saves.",,#papilotus #afterhours #nightdrive
5,,REBIRTH,IG Reel,Fake Paparazzi,False Reality,Wed/Thu 6-9pm ET,HIGH,Camera flash on frame 1 + timestamp overlay,3:17 AM / unknown location.,"AI flash photo — leaving underground club, blurred crowd, chrome highlights. Add small 03:17AM watermark.",,#papilotus #darkrnb #afterhours
5,,REBIRTH,YT Shorts,Hook Loop A,Song Loop,Tue-Thu 12-3pm ET,MED,Same as TikTok Day 2,"POV: you miss the chaos, not the person.","Day 2 hook loop, YT-optimized title + description with niche tags",,#papilotus #darkrnb #newmusic
5,,REBIRTH,IG Story,Paparazzi Frame,False Reality,7-9pm ET (same day),LOW,Flash frame,no caption,Single still from paparazzi reel,,
6,,REBIRTH,TikTok,AI Visualizer,Cinematic Identity,Tue/Thu 7-9pm ET,MED,Red room light flicker on frame 1 + text appears immediately,do not text them tonight.,"Slow red room motion, smoke haze, lyric overlay, hypnotic loop. Original Audio.",send this to nobody,#papilotus #afterhours #nightdrive
6,,REBIRTH,IG Story,Question Box,Cinematic Identity,10-11am ET (same day),MED,Text question appears with frame 1,what should I drop next?,"Dark background, question sticker, options: red room / paparazzi / night drive",,
7,,REBIRTH,IG Reel,AI Visualizer (cross-post),Cinematic Identity,Wed/Thu 6-9pm ET,MED,Red flicker + text,do not text them tonight.,Cross-post Day 6 visualizer,send this to nobody,#papilotus #afterhours #nightdrive
7,,REBIRTH,Website,Hero Loop Live,Cinematic Identity,Anytime (low traffic),HIGH,n/a,transmissions from after midnight.,"Fullscreen dark video loop, wordmark, Watch placeholder, EMAIL CAPTURE PROMINENT — 'join the afterhours list'",join the afterhours list,
7,,REBIRTH,IG Story,Countdown Tease,Controlled Mystery,7-9pm ET (same day),MED,Glitch reveals date,no caption — date only,Glitch title card with cryptic date stamp + swipe-up to website,,
8,,REBIRTH,IG Feed,Carousel,Cinematic Identity,Tue-Thu 7-9pm ET,HIGH,First image is strongest portrait,lotus season.,"5 AI stills — motel, car window, penthouse, paparazzi, silhouette. Lead with strongest face shot (35% engagement boost).",,#papilotus #afterhours #nightdrive
8,,REBIRTH,TikTok,Video Seed,Video Fragments,Tue/Thu 7-9pm ET,MED,Close-up face on frame 1,"same memory, different room.",5-sec close-up from official music video + rain neon overlay,save this,#papilotus #darkrnb #afterhours
9,,REBIRTH,YT Shorts,Hook Loop B,Song Loop,Tue-Thu 12-3pm ET,MED,Motel neon flash,this part still hurts.,"Day 4 hook variation (motel hallway), YT-optimized",,#papilotus #darkrnb #newmusic
9,,REBIRTH,IG Story,Carousel Frame,Cinematic Identity,10-11am ET (same day),LOW,Portrait,no caption,Single frame from Day 8 carousel,,
10,,REBIRTH,TikTok,POV Clip,Song Loop,Tue/Thu 7-9pm ET,HIGH,"Lyric text on frame 1, blurred night highway behind",POV: you ruined the only good thing.,Driving/night clip + lyric overlay + hook. POV format = 17% engagement boost over standard.,save this,#papilotus #afterhours #nightdrive
10,,REBIRTH,IG Story,Story Reminder,Cinematic Identity,7-9pm ET (same day),LOW,POV frame,no caption,"POV clip frame, swipe-up to TikTok",,
11,,REBIRTH,IG Reel,POV Clip (cross-post),Song Loop,Wed/Thu 6-9pm ET,MED,Lyric on frame 1,POV: you ruined the only good thing.,Cross-post Day 10 POV,send this to nobody,#papilotus #afterhours #nightdrive
11,,REBIRTH,YT Shorts,POV Clip,Song Loop,Fri 4-7pm ET,MED,Lyric on frame 1,POV: you ruined the only good thing.,"Same POV, optimized for YT Shorts with niche tags",,#papilotus #darkrnb #newmusic
11,,REBIRTH,IG Story,Link Sticker,Cinematic Identity,7-9pm ET (same day),MED,Cover art preview,join the afterhours list.,"EMAIL CAPTURE PUSH — link sticker to website signup, cover art motion",tap to join,
12,,REBIRTH,TikTok,Hook Loop C,Song Loop,Tue/Thu 7-9pm ET,MED,Empty club neon on frame 1,"same memory, different room.",Empty club AI variation of hook. Third variant — track which background wins on saves.,,#papilotus #darkrnb #afterhours
12,,REBIRTH,IG Story,Cryptic Frame,Controlled Mystery,10-11am ET (same day),LOW,Lotus mark fade,no caption,Lotus mark + static texture,,
13,,REBIRTH,IG Story,Human Proof,Human Proof,7-9pm ET (same day),MED,Real face/hand on frame 1,this record sat on my drive too long.,"Real phone selfie or studio screen — authentic, low-key. Research: emotion-first storytelling outperforms polish in 2026.",,
13,,REBIRTH,IG Feed,Lyric Clip,Lyric Wound,Tue-Thu 7-9pm ET,MED,Lyric text appears with first beat,save this for the night drive.,"Slow red room motion + key lyric overlay, 9:16, 12 sec. DM-share bait.",send this to nobody,#papilotus #darkrnb #afterhours
14,,REBIRTH,TikTok,Hook Loop D,Song Loop,Tue/Thu 7-9pm ET,MED,Paparazzi flash + lyric on beat 1,the city knows what happened.,4th variant — paparazzi flash AI. By now you'll see which 1-2 backgrounds are winning.,save this,#papilotus #afterhours #nightdrive
14,,REBIRTH,YT Shorts,Video Seed,Video Fragments,Tue-Thu 12-3pm ET,MED,Close-up face,"same memory, different room.",Empty club hook variation,,#papilotus #darkrnb #newmusic
14,,REBIRTH,IG Story,BTS Fragment,False Reality,7-9pm ET (same day),LOW,Red LED + smoke,no caption,"AI BTS — empty studio, red LED, mic silhouette",,
15,,WORLDBUILDING,IG Reel,Main Teaser,Video Fragments,Wed/Thu 6-9pm ET,HIGH,Title card flashes + hook starts,MOTEL SAINT. coming soon.,Best 12-sec clip from official video + date card at end. PIN this.,save the date,#papilotus #darkrnb #newmusic
15,,WORLDBUILDING,TikTok,Main Teaser,Video Fragments,Tue/Thu 7-9pm ET,HIGH,Title card flashes,MOTEL SAINT. coming soon.,"Same 12-sec teaser, TikTok-optimized. PIN this.",,#papilotus #darkrnb #newmusic
15,,WORLDBUILDING,IG Story,Date Reveal,Controlled Mystery,7-9pm ET (same day),MED,Animated date,MOTEL SAINT.,Animated title card with date + countdown sticker,,
16,,WORLDBUILDING,TikTok,Lyric Clip,Lyric Wound,Tue/Thu 7-9pm ET,MED,Lyric text appears with first beat — high contrast,the city knows what happened.,Most quotable line + black/red overlay + ambient motion. SUBTITLE-ready (24% more shares).,save this,#papilotus #darkrnb #afterhours
16,,WORLDBUILDING,IG Story,Lyric Frame,Lyric Wound,10-11am ET (same day),LOW,Lyric text fade,no caption,Frame from lyric clip,,
17,,WORLDBUILDING,IG Feed,Fake Magazine Cover,False Reality,Tue-Thu 11am-1pm ET,HIGH,n/a (still),Papi Lotus returns from the static.,"AI editorial cover — luxury noir layout, wine red + black, fake magazine title bar. Carousel option: cover + 3 inside spreads.",,#papilotus #afterhours #nightdrive
17,,WORLDBUILDING,IG Story,Magazine Preview,False Reality,7-9pm ET (same day),LOW,Magazine spread,no caption,Spread preview frame,,
18,,WORLDBUILDING,TikTok,Hook Loop,Song Loop,Tue/Thu 7-9pm ET,MED,Surveillance footage feel + lyric,what does this feel like?,Surveillance cam AI variation. Comment-bait caption (2.4x more comments per research).,tell me in comments,#papilotus #darkrnb #afterhours
18,,WORLDBUILDING,YT Shorts,Hook Loop,Song Loop,Fri 4-7pm ET,MED,Surveillance footage,what does this feel like?,Same surveillance variation,,#papilotus #darkrnb #newmusic
19,,WORLDBUILDING,IG Reel,BTS Illusion,False Reality,Wed/Thu 6-9pm ET,HIGH,Red LED room + timestamp on frame 1,archived footage: lotus sessions 03:17 AM.,"AI backstage/studio — red LED, smoke, mic silhouette. Adds mythology.",,#papilotus #darkrnb #afterhours
19,,WORLDBUILDING,Website,Lyric Page Live,Lyric Wound,Anytime (low traffic),MED,n/a,no caption,"Lyric page goes live — minimal dark bg, small type, SEO-ready, email capture in footer",,
20,,WORLDBUILDING,TikTok,BTS Illusion (cross-post),False Reality,Tue/Thu 7-9pm ET,MED,Red LED + timestamp,archived. 03:17 AM.,Cross-post Day 19 BTS,,#papilotus #darkrnb #afterhours
20,,WORLDBUILDING,IG Story,Countdown 30,Controlled Mystery,10-11am ET (same day),MED,Animated 30,30.,Countdown frame,,
21,,WORLDBUILDING,IG Feed,Archive Carousel,False Reality,Tue-Thu 7-9pm ET,MED,n/a,found in the static.,4 AI stills with cryptic date stamps — fake archive feel. Carousels score higher saves.,save this,#papilotus #afterhours #nightdrive
22,,WORLDBUILDING,TikTok,Hook Loop (winning variant),Song Loop,Tue/Thu 7-9pm ET,HIGH,Best-performing background from Days 2/4/12/14,this is the one.,By now you know which AI background got the most saves. PUSH that variant hard.,save this,#papilotus #afterhours #nightdrive
22,,WORLDBUILDING,IG Reel,Hook Loop (winning variant),Song Loop,Wed/Thu 6-9pm ET,HIGH,Same winning background,this is the one.,"Same winning hook, IG-optimized",send this to nobody,#papilotus #afterhours #nightdrive
22,,WORLDBUILDING,IG Story,Save Prompt,Song Loop,7-9pm ET (same day),MED,Frame + save sticker,save before it disappears.,Frame from hook + save sticker,,
23,,WORLDBUILDING,IG Reel,Official Teaser,Video Fragments,Wed/Thu 6-9pm ET,HIGH,Title card + date stamp visible immediately,MOTEL SAINT — out 07.XX,Title + date card cut. PIN this when posted.,save the date,#papilotus #darkrnb #newmusic
23,,WORLDBUILDING,IG Story,Multi-Reminders,Cinematic Identity,7-9pm ET (same day),MED,Three quick frames,no caption,"Multi-frame: pre-save sticker (when ready), audio sticker, date",,
24,,WORLDBUILDING,TikTok,Lyric POV,Lyric Wound,Tue/Thu 7-9pm ET,HIGH,"Lyric text on frame 1, night highway behind",POV: when they come back after you healed.,"Night highway AI + key lyric. POV format = +17%, lyric overlay = +24% shares.",send this to nobody,#papilotus #afterhours #nightdrive
24,,WORLDBUILDING,IG Story,Save Reminder,Lyric Wound,10-11am ET (same day),LOW,Lyric frame,no caption,Frame from POV clip + save sticker,,
25,,WORLDBUILDING,IG Feed,Editorial Portrait,Cinematic Identity,Tue-Thu 7-9pm ET,MED,n/a,lotus season.,"AI editorial — empty penthouse, city lights through rainy glass",,#papilotus #afterhours #nightdrive
25,,WORLDBUILDING,Website,Release Page Live,Cinematic Identity,Anytime (low traffic),HIGH,n/a,no caption,"Release page goes live — cover, smart links placeholder, video embed, lyrics, 3 stills. PRE-SAVE button prominent.",,
25,,WORLDBUILDING,YT Shorts,Lyric POV,Lyric Wound,Fri 4-7pm ET,MED,Lyric overlay frame 1,POV: when they come back after you healed.,"Day 24 POV cross-posted, YT-optimized",,#papilotus #darkrnb #newmusic
26,,WORLDBUILDING,TikTok,Hook Loop,Song Loop,Tue/Thu 7-9pm ET,MED,Chrome hallway flash + lyric,this one came from the part I do not talk about.,Chrome hallway AI variation + hook + emotional framing (vulnerable storytelling = high engagement in 2026),,#papilotus #darkrnb #afterhours
27,,WORLDBUILDING,IG Reel,POV Edit,Lyric Wound,Wed/Thu 6-9pm ET,HIGH,Lyric overlay + driving footage on frame 1,"POV: you saved them, they didn't save you back.",Emotional edit — night driving + lyric overlay. High DM-share potential.,send this to nobody,#papilotus #afterhours #nightdrive
27,,WORLDBUILDING,TikTok,POV Edit (cross-post),Lyric Wound,Tue/Thu 7-9pm ET,MED,Lyric + driving frame 1,"POV: you saved them, they didn't save you back.","Same POV, TikTok",save this,#papilotus #afterhours #nightdrive
28,,WORLDBUILDING,TikTok,AI Visualizer,Cinematic Identity,Tue/Thu 7-9pm ET,MED,Red room flicker + lyric,save this for the drive home.,"Slow red room motion + lyric overlay, hypnotic loop. Save-bait caption.",save this,#papilotus #afterhours #nightdrive
29,,WORLDBUILDING,IG Feed,Fake Paparazzi #2,False Reality,Tue-Thu 11am-1pm ET,MED,n/a,no caption,"AI flash photo — outside club, blurred crowd, candid but stylish",,#papilotus #darkrnb #afterhours
30,,WORLDBUILDING,TikTok,Hook + Countdown 20,Song Loop,Tue/Thu 7-9pm ET,HIGH,Best AI variation + small '20' overlay,20 days. do not say I didn't warn you.,Winning hook variant + countdown number. Sets up daily countdown push.,,#papilotus #darkrnb #newmusic
30,,WORLDBUILDING,IG Story,Countdown 20,Controlled Mystery,10-11am ET (same day),MED,Animated 20,20.,Countdown card + pre-save sticker (when Countdown Page ready Day 42),,
31,,TEASER PRESSURE,TikTok,Hook Loop,Song Loop,Tue/Thu 7-9pm ET,MED,Surveillance cam frame 1,you were never supposed to hear this.,Daily hook push,save this,#papilotus #afterhours #nightdrive
31,,TEASER PRESSURE,IG Story,Countdown 19,Controlled Mystery,10-11am ET (same day),LOW,19,19.,Countdown frame,,
32,,TEASER PRESSURE,IG Reel,Lyric Loop,Lyric Wound,Wed/Thu 6-9pm ET,MED,Lyric text + ambient motion frame 1,do not text them tonight.,Lyric loop + slow red ambient motion,send this to nobody,#papilotus #darkrnb #afterhours
32,,TEASER PRESSURE,TikTok,Hook Loop,Song Loop,Tue/Thu 7-9pm ET,MED,Empty club neon frame 1,do not text them tonight.,"Same hook, empty club AI background",,#papilotus #afterhours #nightdrive
